0.0, -6430.801485430297, -2340.6203231715067, 0.0
1.0, -6431.147921777761, -2339.6560549210326, 7.578134388372499
2.0, -6431.486359996957, -2338.6888769459706, 15.156259352164511
3.0, -6431.816799667161, -2337.718790449222, 22.73436546679859
4.0, -6432.139240377718, -2336.7457966373468, 30.312443307730664
5.0, -6432.453681728041, -2335.769896720566, 37.89048345045008
6.0, -6432.760123327614, -2334.791091912757, 45.46847647049776
7.0, -6433.058564795981, -2333.8093834314536, 53.04641294346627
8.0, -6433.349005762764, -2332.8247724978432, 60.624283445030144
9.0, -6433.631445867648, -2331.8372603367666, 68.2020785509458
10.0, -6433.905884760394, -2330.846848176714, 75.77978883706993
11.0, -6434.172322100822, -2329.853537249828, 83.35740487935935
12.0, -6434.430757558837, -2328.8573287918975, 90.93491725390145
13.0, -6434.681190814405, -2327.858224042358, 98.51231653691407
14.0, -6434.923621557569, -2326.856224244289, 106.08959330476394
15.0, -6435.158049488437, -2325.851330644414, 113.66673813396632
16.0, -6435.384474317198, -2324.843544493098, 121.24374160121579
17.0, -6435.602895764107, -2323.8328670443457, 128.8205942833889
18.0, -6435.813313559495, -2322.8192995558, 136.39728675754748
19.0, -6436.015727443768, -2321.8028432887427, 143.97380960096882
20.0, -6436.210137167399, -2320.783499508086, 151.55015339114576
21.0, -6436.396542490943, -2319.7612694823792, 159.12630870580483
22.0, -6436.574943185023, -2318.7361544838027, 166.70226612290628
23.0, -6436.745339030339, -2317.7081557881666, 174.27801622067454
24.0, -6436.907729817668, -2316.6772746749093, 181.85354957759805
25.0, -6437.062115347859, -2315.643512427096, 189.4288567724475
26.0, -6437.208495431836, -2314.6068703314186, 197.00392838427587
27.0, -6437.346869890603, -2313.5673496781915, 204.57875499244884
28.0, -6437.477238555231, -2312.524951761349, 212.15332717664458
29.0, -6437.599601266879, -2311.479677878449, 219.7276355168723
30.0, -6437.71395787677, -2310.431529330665, 227.30167059347195
31.0, -6437.820308246212, -2309.3805074227907, 234.87542298714456
32.0, -6437.918652246584, -2308.32661346323, 242.4488832789554
33.0, -6438.008989759347, -2307.2698487640055, 250.02204205033723
34.0, -6438.091320676033, -2306.2102146407487, 257.59488988311995
35.0, -6438.165644898255, -2305.147712412701, 265.16741735953127
36.0, -6438.2319623377, -2304.082343402712, 272.73961506221485
37.0, -6438.290272916137, -2303.0141089372405, 280.31147357422975
38.0, -6438.340576565404, -2301.943010346347, 287.88298347908136
39.0, -6438.382873227426, -2300.869048963697, 295.45413536072135
